Natural	ADJamodNOUN	language	0
correspondingly	ADVadvmodADJ	unique	24
unique	ADJamodNOUN	aim	24
aim	NOUNnmodNOUN	dataset	24
and	CCONJccNOUN	metric	24
metric	NOUNconjNOUN	aim	24
;	PUNCTpunctVERB	conduct	24
this	PRONnsubjVERB	make	24
make	VERBparataxisVERB	conduct	24
it	PRONobjVERB	make	24
difficult	ADJxcompVERB	make	24
to	PARTmarkVERB	track	24
track	VERBadvclADJ	difficult	24
track	VERBrev_objNOUN	progress	24
24	ABOUT	progress	24
.	PUNCTpunctVERB	conduct	24
this	DETdetNOUN	paper	25
propose	VERBrev_nsubjNOUN	paper	25
25	ABOUT	paper	25
propose	VERB_PREDICATE_OF	25	25
the	DETdetNOUN	rationale	25
evaluate	VERBamodNOUN	rationale	25
propose	VERBrev_objNOUN	rationale	25
25	ABOUT	rationale	25
and	CCONJccNOUN	reasoning	25
simple	ADJamodNOUN	reasoning	25
English	PROPNcompoundNOUN	reasoning	25
English	PROPNinCOMPOUND	English reasoning	25
reasoning	NOUNinCOMPOUND	English reasoning	25
25	ABOUT	English reasoning	25
reasoning	NOUNconjNOUN	rationale	25
(	PUNCTpunctNOUN	eraser	25
eraser	NOUNapposNOUN	reasoning	25
)	PUNCTpunctNOUN	eraser	25
benchmark	NOUNconjNOUN	rationale	25
to	ADPcaseNOUN	research	25
advance	NOUNcompoundNOUN	research	25
advance	NOUNinCOMPOUND	advance research	25
research	NOUNinCOMPOUND	advance research	25
25	ABOUT	advance research	25
research	NOUNnmodNOUN	benchmark	25
on	ADPcaseNOUN	model	25
interpretable	ADJamodNOUN	model	25
model	NOUNnmodNOUN	research	25
in	ADPcaseNOUN	nlp	25
nlp	NOUNnmodNOUN	model	25
.	PUNCTpunctVERB	propose	25
this	DETdetNOUN	benchmark	26
comprise	VERBrev_nsubjNOUN	benchmark	26
26	ABOUT	benchmark	26
comprise	VERB_PREDICATE_OF	26	26
multiple	ADJamodNOUN	dataset	26
comprise	VERBrev_objNOUN	dataset	26
26	ABOUT	dataset	26
and	CCONJccNOUN	task	26
task	NOUNconjNOUN	dataset	26
for	ADPcasePRON	which	26
which	PRONoblVERB	collect	26
human	ADJamodNOUN	annotation	26
collect	VERBrev_nsubj:passNOUN	annotation	26
26	ABOUT	annotation	26
of	ADPcaseNOUN	rationale	26
""""	PUNCTpunctNOUN	rationale	26
rationale	NOUNnmodNOUN	annotation	26
""""	PUNCTpunctNOUN	rationale	26
(	PUNCTpunctVERB	support	26
support	VERBaclNOUN	rationale	26
support	VERBrev_objNOUN	evidence	26
26	ABOUT	evidence	26
)	PUNCTpunctVERB	support	26
have	AUXauxVERB	collect	26
be	AUXaux:passVERB	collect	26
collect	VERBadvclVERB	comprise	26
.	PUNCTpunctVERB	comprise	26
the	DETdetNOUN	researcher	27
propose	VERBrev_nsubjNOUN	researcher	27
27	ABOUT	researcher	27
propose	VERB_PREDICATE_OF	27	27
several	ADJamodNOUN	metric	27
propose	VERBrev_objNOUN	metric	27
27	ABOUT	metric	27
that	PRONnsubjVERB	aim	27
aim	VERBacl:relclNOUN	metric	27
to	PARTmarkVERB	capture	27
capture	VERBxcompVERB	aim	27
how	ADVadvmodADV	well	27
well	ADVadvmodVERB	provide	27
the	DETdetNOUN	rationale	27
align	VERBrev_nsubjNOUN	rationale	27
27	ABOUT	rationale	27
provide	VERBaclNOUN	rationale	27
by	ADPcaseNOUN	model	27
provide	VERBrev_oblNOUN	model	27
27	ABOUT	model	27
align	VERBccompVERB	capture	27
with	ADPcaseNOUN	rationale	27
human	ADJamodNOUN	rationale	27
align	VERBrev_oblNOUN	rationale	27
27	ABOUT	rationale	27
,	PUNCTpunctADJ	faithful	27
and	CCONJccADJ	faithful	27
also	ADVadvmodADJ	faithful	27
how	ADVadvmodADJ	faithful	27
faithful	ADJconjVERB	align	27
these	DETdetNOUN	rationale	27
faithful	ADJrev_nsubjNOUN	rationale	27
27	ABOUT	rationale	27
be	AUXcopADJ	faithful	27
(	PUNCTpunctNOUN	degree	27
i.e.	XadvmodNOUN	degree	27
,	PUNCTpunctNOUN	degree	27
the	DETdetNOUN	degree	27
degree	NOUNconjADJ	faithful	27
to	ADPcasePRON	which	27
which	PRONoblVERB	provide	27
provide	VERBacl:relclNOUN	degree	27
provide	VERBrev_objNOUN	rationale	27
27	ABOUT	rationale	27
influence	VERBaclNOUN	rationale	27
the	DETdetNOUN	prediction	27
correspond	VERBamodNOUN	prediction	27
influence	VERBrev_objNOUN	prediction	27
27	ABOUT	prediction	27
)	PUNCTpunctNOUN	degree	27
.	PUNCTpunctVERB	propose	27
the	DETdetNOUN	hope	28
be	VERBrev_nsubjNOUN	hope	28
28	ABOUT	hope	28
be	VERB_PREDICATE_OF	28	28
that	SCONJmarkVERB	facilitate	28
release	VERBcsubjVERB	facilitate	28
this	DETdetNOUN	benchmark	28
release	VERBrev_objNOUN	benchmark	28
28	ABOUT	benchmark	28
facilitate	VERBccompVERB	be	28
facilitate	VERBrev_objNOUN	progress	28
28	ABOUT	progress	28
on	SCONJmarkVERB	design	28
design	VERBaclNOUN	progress	28
more	ADVadvmodADJ	interpretable	28
interpretable	ADJamodNOUN	system	28
nlp	NOUNcompoundNOUN	system	28
nlp	NOUNinCOMPOUND	nlp system	28
system	NOUNinCOMPOUND	nlp system	28
28	ABOUT	nlp system	28
design	VERBrev_objNOUN	system	28
28	ABOUT	system	28
.	PUNCTpunctVERB	be	28
the	DETdetNOUN	benchmark	29
available	ADJrev_nsubjNOUN	benchmark	29
29	ABOUT	benchmark	29
,	PUNCTpunctNOUN	code	29
code	NOUNconjNOUN	benchmark	29
,	PUNCTpunctNOUN	documentation	29
and	CCONJccNOUN	documentation	29
documentation	NOUNconjNOUN	benchmark	29
be	AUXcopADJ	available	29
available	ADJ_PREDICATE_OF	29	29
here	ADVadvmodADJ	available	29
.	PUNCTpunctADJ	available	29
Allen	PROPN_PREDICATE_OF	30	30
NLP	PROPNflatPROPN	Allen	30
NLP	PROPNinCOMPOUND	NLP Allen	30
Allen	PROPNinCOMPOUND	NLP Allen	30
30	ABOUT	NLP Allen	30
interpret	VERB_PREDICATE_OF	31	31
:	PUNCTpunctVERB	interpret	31
a	DETdetNOUN	Framework	31
interpret	VERBrev_objNOUN	Framework	31
31	ABOUT	Framework	31
for	SCONJmarkVERB	explain	31
explain	VERBaclNOUN	Framework	31
explain	VERBrev_objNOUN	prediction	31
31	ABOUT	prediction	31
of	ADPcaseNOUN	model	31
nlp	NOUNcompoundNOUN	model	31
nlp	NOUNinCOMPOUND	nlp model	31
model	NOUNinCOMPOUND	nlp model	31
31	ABOUT	nlp model	31
model	NOUNnmodNOUN	prediction	31
neural	ADJamodNOUN	model	31
nlp	NOUNcompoundNOUN	model	31
nlp	NOUNinCOMPOUND	nlp model	31
model	NOUNinCOMPOUND	nlp model	31
31	ABOUT	nlp model	31
model	NOUNnmodNOUN	prediction	31
be	AUXcopADJ	accurate	31
increasingly	ADVadvmodADJ	accurate	31
accurate	ADJccompVERB	interpret	31
but	CCONJccADJ	imperfect	31
be	AUXcopADJ	imperfect	31
imperfect	ADJconjADJ	accurate	31
and	CCONJccADJ	opaque	31
opaque	ADJconjADJ	imperfect	31
-	PUNCTpunctVERB	interpret	31
they	PRONnsubjVERB	break	31
break	VERBparataxisVERB	interpret	31
in	ADPcaseNOUN	way	31
counterintuitive	ADJamodNOUN	way	31
break	VERBrev_oblNOUN	way	31
31	ABOUT	way	31
and	CCONJccVERB	leave	31
leave	VERBconjVERB	break	31
end	NOUNcompoundNOUN	user	31
end	NOUNinCOMPOUND	end user	31
user	NOUNinCOMPOUND	end user	31
31	ABOUT	end user	31
leave	VERBrev_objNOUN	user	31
31	ABOUT	user	31
puzzle	VERBaclNOUN	user	31
at	ADPcaseNOUN	behavior	31
they	PRONnmod:possNOUN	behavior	31
puzzle	VERBrev_oblNOUN	behavior	31
31	ABOUT	behavior	31
.	PUNCTpunctVERB	interpret	31
model	NOUNcompoundNOUN	interpretation	32
model	NOUNinCOMPOUND	model interpretation	32
interpretation	NOUNinCOMPOUND	model interpretation	32
32	ABOUT	model interpretation	32
interpretation	NOUNcompoundNOUN	method	32
interpretation	NOUNinCOMPOUND	interpretation method	32
method	NOUNinCOMPOUND	interpretation method	32
32	ABOUT	interpretation method	32
ameliorate	VERBrev_nsubjNOUN	method	32
32	ABOUT	method	32
ameliorate	VERB_PREDICATE_OF	32	32
this	DETdetNOUN	opacity	32
ameliorate	VERBrev_objNOUN	opacity	32
32	ABOUT	opacity	32
by	SCONJmarkVERB	provide	32
provide	VERBadvclVERB	ameliorate	32
provide	VERBrev_objNOUN	explanation	32
32	ABOUT	explanation	32
for	ADPcaseNOUN	prediction	32
specific	ADJamodNOUN	prediction	32
model	NOUNcompoundNOUN	prediction	32
model	NOUNinCOMPOUND	model prediction	32
prediction	NOUNinCOMPOUND	model prediction	32
32	ABOUT	model prediction	32
prediction	NOUNnmodNOUN	explanation	32
.	PUNCTpunctVERB	ameliorate	32
unfortunately	ADVadvmodVERB	make	33
,	PUNCTpunctVERB	make	33
exist	VERBamodNOUN	codebase	33
interpretation	NOUNcompoundNOUN	codebase	33
interpretation	NOUNinCOMPOUND	interpretation codebase	33
codebase	NOUNinCOMPOUND	interpretation codebase	33
33	ABOUT	interpretation codebase	33
make	VERBrev_nsubjNOUN	codebase	33
33	ABOUT	codebase	33
make	VERB_PREDICATE_OF	33	33
it	PRONobjVERB	make	33
difficult	ADJxcompVERB	make	33
to	PARTmarkVERB	apply	33
apply	VERBxcompADJ	difficult	33
these	DETdetNOUN	method	33
apply	VERBrev_objNOUN	method	33
33	ABOUT	method	33
to	ADPcaseNOUN	model	33
new	ADJamodNOUN	model	33
apply	VERBrev_oblNOUN	model	33
33	ABOUT	model	33
and	CCONJccNOUN	task	33
task	NOUNconjNOUN	model	33
,	PUNCTpunctNOUN	model	33
which	PRONnsubjVERB	hinder	33
hinder	VERBacl:relclNOUN	model	33
hinder	VERBrev_objNOUN	adoption	33
33	ABOUT	adoption	33
for	ADPcaseNOUN	practitioner	33
practitioner	NOUNnmodNOUN	adoption	33
and	CCONJccNOUN	burden	33
burden	NOUNconjNOUN	practitioner	33
interpretability	NOUNcompoundNOUN	researcher	33
interpretability	NOUNinCOMPOUND	interpretability researcher	33
researcher	NOUNinCOMPOUND	interpretability researcher	33
33	ABOUT	interpretability researcher	33
researcher	NOUNconjNOUN	practitioner	33
.	PUNCTpunctVERB	make	33
this	DETdetNOUN	paper	34
introduce	VERBrev_nsubjNOUN	paper	34
34	ABOUT	paper	34
introduce	VERB_PREDICATE_OF	34	34
Allen	PROPNobjVERB	introduce	34
NLP	PROPNflatPROPN	Allen	34
NLP	PROPNinCOMPOUND	NLP Allen	34
Allen	PROPNinCOMPOUND	NLP Allen	34
34	ABOUT	NLP Allen	34
interpret	VERBxcompVERB	introduce	34
,	PUNCTpunctNOUN	framework	34
a	DETdetNOUN	framework	34
flexible	ADJamodNOUN	framework	34
interpret	VERBrev_objNOUN	framework	34
34	ABOUT	framework	34
for	SCONJmarkVERB	interpret	34
interpret	VERBaclNOUN	framework	34
nlp	NOUNcompoundNOUN	model	34
nlp	NOUNinCOMPOUND	nlp model	34
model	NOUNinCOMPOUND	nlp model	34
34	ABOUT	nlp model	34
interpret	VERBrev_objNOUN	model	34
34	ABOUT	model	34
.	PUNCTpunctVERB	introduce	34
the	DETdetNOUN	toolkit	35
provide	VERBrev_nsubjNOUN	toolkit	35
35	ABOUT	toolkit	35
provide	VERB_PREDICATE_OF	35	35
interpretation	NOUNcompoundNOUN	primitive	35
interpretation	NOUNinCOMPOUND	interpretation primitive	35
primitive	NOUNinCOMPOUND	interpretation primitive	35
35	ABOUT	interpretation primitive	35
provide	VERBrev_objNOUN	primitive	35
35	ABOUT	primitive	35
(	PUNCTpunctNOUN	gradient	35
e.g.	XadvmodNOUN	gradient	35
,	PUNCTpunctNOUN	gradient	35
input	NOUNcompoundNOUN	gradient	35
input	NOUNinCOMPOUND	input gradient	35
gradient	NOUNinCOMPOUND	input gradient	35
35	ABOUT	input gradient	35
gradient	NOUNapposNOUN	primitive	35
)	PUNCTpunctNOUN	gradient	35
for	ADPcaseNOUN	model	35
any	DETdetNOUN	model	35
Allen	PROPNcompoundNOUN	model	35
Allen	PROPNinCOMPOUND	Allen model	35
model	NOUNinCOMPOUND	Allen model	35
35	ABOUT	Allen model	35
nlp	NOUNcompoundNOUN	model	35
nlp	NOUNinCOMPOUND	nlp model	35
model	NOUNinCOMPOUND	nlp model	35
35	ABOUT	nlp model	35
model	NOUNnmodNOUN	primitive	35
and	CCONJccNOUN	task	35
task	NOUNconjNOUN	model	35
,	PUNCTpunctNOUN	suite	35
a	DETdetNOUN	suite	35
suite	NOUNconjNOUN	primitive	35
of	ADPcaseNOUN	method	35
build	VERBamodNOUN	method	35
-	PUNCTpunctVERB	build	35
in	ADPcaseNOUN	interpretation	35
interpretation	NOUNcompoundNOUN	method	35
interpretation	NOUNinCOMPOUND	interpretation method	35
method	NOUNinCOMPOUND	interpretation method	35
35	ABOUT	interpretation method	35
method	NOUNnmodNOUN	suite	35
,	PUNCTpunctNOUN	library	35
and	CCONJccNOUN	library	35
a	DETdetNOUN	library	35
library	NOUNconjNOUN	primitive	35
of	ADPcaseNOUN	component	35
front	ADJamodNOUN	end	35
-	PUNCTpunctNOUN	end	35
end	NOUNcompoundNOUN	component	35
end	NOUNinCOMPOUND	end component	35
component	NOUNinCOMPOUND	end component	35
35	ABOUT	end component	35
visualization	NOUNcompoundNOUN	component	35
visualization	NOUNinCOMPOUND	visualization component	35
component	NOUNinCOMPOUND	visualization component	35
35	ABOUT	visualization component	35
component	NOUNnmodNOUN	library	35
.	PUNCTpunctVERB	provide	35
the	DETdetNOUN	researcher	36
demonstrate	VERBrev_nsubjNOUN	researcher	36
36	ABOUT	researcher	36
demonstrate	VERB_PREDICATE_OF	36	36
the	DETdetNOUN	toolkit	36
toolkit	NOUNnmod:possNOUN	flexibility	36
's	PARTcaseNOUN	toolkit	36
demonstrate	VERBrev_objNOUN	flexibility	36
36	ABOUT	flexibility	36
and	CCONJccNOUN	utility	36
utility	NOUNconjNOUN	flexibility	36
by	SCONJmarkVERB	implement	36
implement	VERBadvclVERB	demonstrate	36
live	ADJamodNOUN	demo	36
implement	VERBrev_objNOUN	demo	36
36	ABOUT	demo	36
for	ADPcaseNOUN	method	36
five	NUMnummodNOUN	method	36
interpretation	NOUNcompoundNOUN	method	36
interpretation	NOUNinCOMPOUND	interpretation method	36
method	NOUNinCOMPOUND	interpretation method	36
36	ABOUT	interpretation method	36
method	NOUNnmodNOUN	demo	36
(	PUNCTpunctNOUN	map	36
e.g.	XadvmodNOUN	map	36
,	PUNCTpunctNOUN	map	36
saliency	NOUNcompoundNOUN	map	36
saliency	NOUNinCOMPOUND	saliency map	36
map	NOUNinCOMPOUND	saliency map	36
36	ABOUT	saliency map	36
map	NOUNapposNOUN	method	36
and	CCONJccNOUN	attack	36
adversarial	ADJamodNOUN	attack	36
attack	NOUNconjNOUN	map	36
)	PUNCTpunctNOUN	map	36
on	ADPcaseNOUN	variety	36
a	DETdetNOUN	variety	36
implement	VERBrev_oblNOUN	variety	36
36	ABOUT	variety	36
of	ADPcaseNOUN	model	36
model	NOUNnmodNOUN	variety	36
and	CCONJccNOUN	task	36
task	NOUNconjNOUN	model	36
(	PUNCTpunctNOUN	modeling	36
e.g.	XadvmodNOUN	modeling	36
,	PUNCTpunctNOUN	modeling	36
mask	VERBamodNOUN	modeling	36
language	NOUNcompoundNOUN	modeling	36
language	NOUNinCOMPOUND	language modeling	36
modeling	NOUNinCOMPOUND	language modeling	36
36	ABOUT	language modeling	36
modeling	NOUNapposNOUN	variety	36
use	VERBaclNOUN	modeling	36
BERT	PROPNobjVERB	use	36
and	CCONJccNOUN	comprehension	36
reading	NOUNconjPROPN	BERT	36
comprehension	NOUNconjPROPN	BERT	36
use	VERBadvclVERB	use	36
BiDAF	PROPNobjVERB	use	36
)	PUNCTpunctNOUN	modeling	36
.	PUNCTpunctVERB	demonstrate	36
these	DETdetNOUN	demo	37
available	ADJrev_nsubjNOUN	demo	37
37	ABOUT	demo	37
,	PUNCTpunctNOUN	demo	37
alongside	ADPcaseNOUN	code	37
we	PRONnmod:possNOUN	code	37
code	NOUNnmodNOUN	demo	37
and	CCONJccNOUN	tutorial	37
tutorial	NOUNconjNOUN	code	37
,	PUNCTpunctADJ	available	37
be	AUXcopADJ	available	37
available	ADJ_PREDICATE_OF	37	37
here	ADVadvmodADJ	available	37
.	PUNCTpunctADJ	available	37
towards	ADV_PREDICATE_OF	38	38
explainable	ADJamodNOUN	nlp	39
nlp	NOUN_PREDICATE_OF	39	39
:	PUNCTpunctNOUN	nlp	39
a	DETdetNOUN	Framework	39
generative	ADJamodNOUN	Framework	39
explanation	NOUNcompoundNOUN	Framework	39
explanation	NOUNinCOMPOUND	explanation Framework	39
Framework	NOUNinCOMPOUND	explanation Framework	39
39	ABOUT	explanation Framework	39
Framework	NOUNapposNOUN	nlp	39
for	ADPcaseNOUN	classification	39
text	NOUNcompoundNOUN	classification	39
text	NOUNinCOMPOUND	text classification	39
classification	NOUNinCOMPOUND	text classification	39
39	ABOUT	text classification	39
classification	NOUNnmodNOUN	Framework	39
Building	VERBcsubjNOUN	problem	40
explainable	ADJamodNOUN	system	40
Building	VERBrev_objNOUN	system	40
40	ABOUT	system	40
be	AUXcopNOUN	problem	40
a	DETdetNOUN	problem	40
critical	ADJamodNOUN	problem	40
problem	NOUN_PREDICATE_OF	40	40
in	ADPcaseNOUN	field	40
the	DETdetNOUN	field	40
field	NOUNnmodNOUN	problem	40
of	ADPcaseNOUN	processing	40
Natural	PROPNcompoundNOUN	language	40
Natural	PROPNinCOMPOUND	Natural language	40
language	NOUNinCOMPOUND	Natural language	40
40	ABOUT	Natural language	40
language	NOUNcompoundNOUN	processing	40
language	NOUNinCOMPOUND	language processing	40
processing	NOUNinCOMPOUND	language processing	40
40	ABOUT	language processing	40
processing	NOUNnmodNOUN	field	40
(	PUNCTpunctNOUN	nlp	40
nlp	NOUNapposNOUN	processing	40
)	PUNCTpunctNOUN	nlp	40
,	PUNCTpunctNOUN	problem	40
since	SCONJmarkVERB	provide	40
most	ADJamodNOUN	model	40
machine	NOUNcompoundNOUN	model	40
machine	NOUNinCOMPOUND	machine model	40
model	NOUNinCOMPOUND	machine model	40
40	ABOUT	machine model	40
learning	NOUNcompoundNOUN	model	40
learning	NOUNinCOMPOUND	learning model	40
model	NOUNinCOMPOUND	learning model	40
40	ABOUT	learning model	40
provide	VERBrev_nsubjNOUN	model	40
40	ABOUT	model	40
provide	VERBadvclNOUN	problem	40
no	DETdetNOUN	explanation	40
provide	VERBrev_objNOUN	explanation	40
40	ABOUT	explanation	40
for	ADPcaseNOUN	prediction	40
the	DETdetNOUN	prediction	40
prediction	NOUNnmodNOUN	explanation	40
.	PUNCTpunctNOUN	problem	40
exist	VERBamodNOUN	approach	41
tend	VERBrev_nsubjNOUN	approach	41
41	ABOUT	approach	41
for	ADPcaseNOUN	system	41
explainable	ADJamodNOUN	system	41
machine	NOUNcompoundNOUN	system	41
machine	NOUNinCOMPOUND	machine system	41
system	NOUNinCOMPOUND	machine system	41
41	ABOUT	machine system	41
learning	NOUNcompoundNOUN	system	41
learning	NOUNinCOMPOUND	learning system	41
system	NOUNinCOMPOUND	learning system	41
41	ABOUT	learning system	41
system	NOUNnmodNOUN	approach	41
tend	VERB_PREDICATE_OF	41	41
to	PARTmarkVERB	focus	41
focus	VERBxcompVERB	tend	41
on	SCONJmarkVERB	interpret	41
interpret	VERBadvclVERB	focus	41
the	DETdetNOUN	output	41
interpret	VERBrev_objNOUN	output	41
41	ABOUT	output	41
or	CCONJccNOUN	connection	41
the	DETdetNOUN	connection	41
connection	NOUNconjNOUN	output	41
between	ADPcaseNOUN	input	41
input	NOUNnmodNOUN	connection	41
and	CCONJccNOUN	output	41
output	NOUNconjNOUN	input	41
.	PUNCTpunctVERB	tend	41
however	ADVadvmodVERB	ignore	42
,	PUNCTpunctVERB	ignore	42
the	DETdetNOUN	information	42
fine	ADJamodVERB	grain	42
-	PUNCTpunctVERB	grain	42
grain	VERBamodNOUN	information	42
ignore	VERBrev_nsubj:passNOUN	information	42
42	ABOUT	information	42
be	AUXaux:passVERB	ignore	42
often	ADVadvmodVERB	ignore	42
ignore	VERB_PREDICATE_OF	42	42
,	PUNCTpunctVERB	generate	42
and	CCONJccVERB	generate	42
the	DETdetNOUN	system	42
generate	VERBrev_nsubjNOUN	system	42
42	ABOUT	system	42
do	AUXauxVERB	generate	42
not	PARTadvmodVERB	generate	42
explicitly	ADVadvmodVERB	generate	42
generate	VERBconjVERB	ignore	42
the	DETdetNOUN	explanation	42
human	ADJamodADJ	readable	42
-	PUNCTpunctADJ	readable	42
readable	ADJamodNOUN	explanation	42
generate	VERBrev_objNOUN	explanation	42
42	ABOUT	explanation	42
.	PUNCTpunctVERB	ignore	42
to	PARTmarkVERB	alleviate	43
better	ADVadvmodVERB	alleviate	43
alleviate	VERBadvclVERB	propose	43
this	DETdetNOUN	problem	43
alleviate	VERBrev_objNOUN	problem	43
43	ABOUT	problem	43
,	PUNCTpunctVERB	propose	43
the	DETdetNOUN	paper	43
propose	VERBrev_nsubjNOUN	paper	43
43	ABOUT	paper	43
propose	VERB_PREDICATE_OF	43	43
a	DETdetNOUN	framework	43
generative	ADJrev_obl:npmodNOUN	novel	43
43	ABOUT	novel	43
generative	ADJamodNOUN	framework	43
explanation	NOUNcompoundNOUN	framework	43
explanation	NOUNinCOMPOUND	explanation framework	43
framework	NOUNinCOMPOUND	explanation framework	43
43	ABOUT	explanation framework	43
propose	VERBrev_objNOUN	framework	43
43	ABOUT	framework	43
that	PRONnsubjVERB	learn	43
learn	VERBacl:relclNOUN	framework	43
to	PARTmarkVERB	make	43
make	VERBxcompVERB	learn	43
classification	NOUNcompoundNOUN	decision	43
classification	NOUNinCOMPOUND	classification decision	43
decision	NOUNinCOMPOUND	classification decision	43
43	ABOUT	classification decision	43
make	VERBrev_objNOUN	decision	43
43	ABOUT	decision	43
and	CCONJccVERB	generate	43
generate	VERBconjVERB	make	43
fine	ADJcompoundVERB	grain	43
fine	ADJinCOMPOUND	fine grain	43
grain	VERBinCOMPOUND	fine grain	43
43	ABOUT	fine grain	43
-	PUNCTpunctVERB	grain	43
grain	VERBamodNOUN	explanation	43
generate	VERBrev_objNOUN	explanation	43
43	ABOUT	explanation	43
at	ADPcaseNOUN	time	43
the	DETdetNOUN	time	43
same	ADJamodNOUN	time	43
generate	VERBrev_oblNOUN	time	43
43	ABOUT	time	43
.	PUNCTpunctVERB	propose	43
more	ADVadvmodADV	specifically	44
specifically	ADVadvmodVERB	introduce	44
,	PUNCTpunctVERB	introduce	44
the	DETdetNOUN	researcher	44
introduce	VERBrev_nsubjNOUN	researcher	44
44	ABOUT	researcher	44
introduce	VERB_PREDICATE_OF	44	44
the	DETdetNOUN	factor	44
explainable	ADJamodNOUN	factor	44
introduce	VERBrev_objNOUN	factor	44
44	ABOUT	factor	44
and	CCONJccNOUN	approach	44
the	DETdetNOUN	approach	44
minimum	ADJamodNOUN	approach	44
risk	NOUNcompoundNOUN	training	44
risk	NOUNinCOMPOUND	risk training	44
training	NOUNinCOMPOUND	risk training	44
44	ABOUT	risk training	44
training	NOUNcompoundNOUN	approach	44
training	NOUNinCOMPOUND	training approach	44
approach	NOUNinCOMPOUND	training approach	44
44	ABOUT	training approach	44
approach	NOUNconjNOUN	factor	44
that	PRONnsubjVERB	learn	44
learn	VERBacl:relclNOUN	approach	44
to	PARTmarkVERB	generate	44
generate	VERBxcompVERB	learn	44
more	ADVadvmodADJ	reasonable	44
reasonable	ADJamodNOUN	explanation	44
generate	VERBrev_objNOUN	explanation	44
44	ABOUT	explanation	44
.	PUNCTpunctVERB	introduce	44
two	NUMnummodNOUN	dataset	45
new	ADJamodNOUN	dataset	45
construct	VERBrev_nsubj:passNOUN	dataset	45
45	ABOUT	dataset	45
that	PRONnsubjVERB	contain	45
contain	VERBacl:relclNOUN	dataset	45
contain	VERBrev_objNOUN	summary	45
45	ABOUT	summary	45
be	AUXaux:passVERB	construct	45
construct	VERB_PREDICATE_OF	45	45
,	PUNCTpunctNOUN	score	45
rating	NOUNcompoundNOUN	score	45
rating	NOUNinCOMPOUND	rating score	45
score	NOUNinCOMPOUND	rating score	45
45	ABOUT	rating score	45
score	NOUNconjVERB	construct	45
,	PUNCTpunctNOUN	reason	45
and	CCONJccNOUN	reason	45
fine	ADJcompoundVERB	grain	45
fine	ADJinCOMPOUND	fine grain	45
grain	VERBinCOMPOUND	fine grain	45
45	ABOUT	fine grain	45
-	PUNCTpunctVERB	grain	45
grain	VERBamodNOUN	reason	45
reason	NOUNconjNOUN	dataset	45
.	PUNCTpunctVERB	construct	45
the	DETdetNOUN	researcher	46
conduct	VERBrev_nsubjNOUN	researcher	46
46	ABOUT	researcher	46
conduct	VERB_PREDICATE_OF	46	46
conduct	VERBrev_objNOUN	experiment	46
46	ABOUT	experiment	46
on	ADPcaseNOUN	dataset	46
both	DETdetNOUN	dataset	46
conduct	VERBrev_oblNOUN	dataset	46
46	ABOUT	dataset	46
,	PUNCTpunctVERB	conduct	46
compare	VERBadvclVERB	conduct	46
with	ADPcaseNOUN	system	46
several	ADJamodNOUN	system	46
strong	ADJamodNOUN	system	46
neural	ADJamodNOUN	network	46
network	NOUNcompoundNOUN	baseline	46
network	NOUNinCOMPOUND	network baseline	46
baseline	NOUNinCOMPOUND	network baseline	46
46	ABOUT	network baseline	46
baseline	NOUNcompoundNOUN	system	46
baseline	NOUNinCOMPOUND	baseline system	46
system	NOUNinCOMPOUND	baseline system	46
46	ABOUT	baseline system	46
compare	VERBrev_oblNOUN	system	46
46	ABOUT	system	46
.	PUNCTpunctVERB	conduct	46
experimental	ADJamodNOUN	result	47
show	VERBrev_nsubjNOUN	result	47
47	ABOUT	result	47
show	VERB_PREDICATE_OF	47	47
that	SCONJmarkVERB	surpass	47
the	DETdetNOUN	method	47
surpass	VERBrev_nsubjNOUN	method	47
47	ABOUT	method	47
surpass	VERBccompVERB	show	47
all	DETdetNOUN	baseline	47
surpass	VERBrev_objNOUN	baseline	47
47	ABOUT	baseline	47
on	ADPcaseNOUN	dataset	47
both	DETdetNOUN	dataset	47
dataset	NOUNnmodNOUN	baseline	47
,	PUNCTpunctADJ	able	47
and	CCONJccADJ	able	47
be	AUXcopADJ	able	47
able	ADJconjVERB	surpass	47
to	PARTmarkVERB	generate	47
generate	VERBxcompADJ	able	47
concise	ADJamodNOUN	explanation	47
generate	VERBrev_objNOUN	explanation	47
47	ABOUT	explanation	47
at	ADPcaseNOUN	time	47
the	DETdetNOUN	time	47
same	ADJamodNOUN	time	47
generate	VERBrev_oblNOUN	time	47
47	ABOUT	time	47
.	PUNCTpunctVERB	show	47
energy	NOUNcompoundNOUN	consideration	48
energy	NOUNinCOMPOUND	energy consideration	48
consideration	NOUNinCOMPOUND	energy consideration	48
48	ABOUT	energy consideration	48
and	CCONJccNOUN	policy	48
policy	NOUNconjNOUN	energy	48
ushere	VERBrev_nsubjNOUN	consideration	48
48	ABOUT	consideration	48
for	ADPcaseNOUN	learning	48
deep	ADJamodNOUN	learning	48
learning	NOUNnmodNOUN	consideration	48
in	ADPcaseNOUN	progress	48
NLP	PROPNcompoundNOUN	progress	48
NLP	PROPNinCOMPOUND	NLP progress	48
progress	NOUNinCOMPOUND	NLP progress	48
48	ABOUT	NLP progress	48
recent	ADJamodNOUN	progress	48
progress	NOUNnmodNOUN	learning	48
in	ADPcaseNOUN	hardware	48
hardware	NOUNnmodNOUN	progress	48
